indicator,id,valuedate,acceptedvalue
Cash assistance application acceptance rate (%),10776,2017-10-01,50.1
Cash assistance application acceptance rate (%),10776,2017-11-01,49.3
Cash assistance application acceptance rate (%),10776,2017-12-01,49.3
Cash assistance application acceptance rate (%),10776,2018-01-01,50.7
Cash assistance application acceptance rate (%),10776,2018-02-01,49.9
Cash assistance application acceptance rate (%),10776,2018-03-01,50.3
Cash assistance application acceptance rate (%),10776,2018-04-01,51
Cash assistance application acceptance rate (%),10776,2018-05-01,51.6
Cash assistance application acceptance rate (%),10776,2018-06-01,48.8
Cash assistance application acceptance rate (%),10776,2018-07-01,51
Cash assistance application acceptance rate (%),10776,2018-08-01,51.3
Cash assistance application acceptance rate (%),10776,2018-09-01,54.7
Cash assistance application acceptance rate (%),10776,2018-10-01,54.5
Cash assistance application acceptance rate (%),10776,2018-11-01,54
Cash assistance application acceptance rate (%),10776,2018-12-01,53.4
Cash assistance application acceptance rate (%),10776,2019-01-01,55.5
Cash assistance application acceptance rate (%),10776,2019-02-01,53.7
Cash assistance application acceptance rate (%),10776,2019-03-01,53.9
Cash assistance application acceptance rate (%),10776,2019-04-01,54.3
Cash assistance application acceptance rate (%),10776,2019-05-01,53.8
Cash assistance application acceptance rate (%),10776,2019-06-01,53.3
Cash assistance application acceptance rate (%),10776,2019-07-01,53.3
Cash assistance application acceptance rate (%),10776,2019-08-01,52.9
Cash assistance application acceptance rate (%),10776,2019-09-01,54
Cash assistance application acceptance rate (%),10776,2019-10-01,55
Cash assistance application acceptance rate (%),10776,2019-11-01,54.1
Cash assistance application acceptance rate (%),10776,2019-12-01,55.1
Cash assistance application acceptance rate (%),10776,2020-01-01,56.6
Cash assistance application acceptance rate (%),10776,2020-02-01,58.1
Cash assistance application acceptance rate (%),10776,2020-03-01,63.7
Cash assistance application acceptance rate (%),10776,2020-04-01,51.5
Cash assistance application acceptance rate (%),10776,2020-05-01,48.5
Cash assistance application acceptance rate (%),10776,2020-06-01,46.6
Cash assistance application acceptance rate (%),10776,2020-07-01,42.6
Cash assistance application acceptance rate (%),10776,2020-08-01,36.2
Cash assistance application acceptance rate (%),10776,2020-09-01,34.2
Cash assistance application acceptance rate (%),10776,2020-10-01,33.4
Cash assistance application acceptance rate (%),10776,2020-11-01,31.9
Cash assistance application acceptance rate (%),10776,2020-12-01,32.6
Cash assistance application acceptance rate (%),10776,2021-01-01,36.6
Cash assistance application acceptance rate (%),10776,2021-02-01,38.4
Cash assistance application acceptance rate (%),10776,2021-03-01,39.5
Cash assistance application acceptance rate (%),10776,2021-04-01,40.5
Cash assistance application acceptance rate (%),10776,2021-05-01,35.6
Cash assistance application acceptance rate (%),10776,2021-06-01,34.5
Cash assistance application acceptance rate (%),10776,2021-07-01,37.5
Cash assistance application acceptance rate (%),10776,2021-08-01,39.4
Cash assistance application acceptance rate (%),10776,2021-09-01,51.2
Cash assistance application acceptance rate (%),10776,2021-10-01,51.7
Cash assistance application acceptance rate (%),10776,2021-11-01,47.1
Cash assistance application acceptance rate (%),10776,2021-12-01,42.5
Cash assistance application acceptance rate (%),10776,2022-01-01,41.2
Cash assistance application acceptance rate (%),10776,2022-02-01,42.1
Cash assistance application acceptance rate (%),10776,2022-03-01,44.1
Cash assistance application acceptance rate (%),10776,2022-04-01,44.9
Cash assistance application acceptance rate (%),10776,2022-05-01,43.1
Cash assistance application acceptance rate (%),10776,2022-06-01,45
Cash assistance application acceptance rate (%),10776,2022-07-01,43.9
Cash assistance application acceptance rate (%),10776,2022-08-01,43.1
Cash assistance application acceptance rate (%),10776,2022-09-01,43
Cash assistance application acceptance rate (%),10776,2022-10-01,42.9
Cash assistance application acceptance rate (%),10776,2022-11-01,43.5
Cash assistance application acceptance rate (%),10776,2022-12-01,43.3
Cash assistance application acceptance rate (%),10776,2023-01-01,41.1
Cash assistance application acceptance rate (%),10776,2023-02-01,40.2
Cash assistance application acceptance rate (%),10776,2023-03-01,40.4
Cash assistance application acceptance rate (%),10776,2023-04-01,41.5
Cash assistance application acceptance rate (%),10776,2023-05-01,35.7
Cash assistance application acceptance rate (%),10776,2023-06-01,34.7
Cash assistance application acceptance rate (%),10776,2023-07-01,35.2
Cash assistance application acceptance rate (%),10776,2023-08-01,35.2
Cash assistance application acceptance rate (%),10776,2023-09-01,NA
Cash assistance application acceptance rate (%),10776,2023-10-01,NA
