indicator,id,valuedate,acceptedvalue
Cash assistance caseload (point in time) (000),4167,2017-10-01,195800
Cash assistance caseload (point in time) (000),4167,2017-11-01,194800
Cash assistance caseload (point in time) (000),4167,2017-12-01,195400
Cash assistance caseload (point in time) (000),4167,2018-01-01,195300
Cash assistance caseload (point in time) (000),4167,2018-02-01,194200
Cash assistance caseload (point in time) (000),4167,2018-03-01,194500
Cash assistance caseload (point in time) (000),4167,2018-04-01,192400
Cash assistance caseload (point in time) (000),4167,2018-05-01,191900
Cash assistance caseload (point in time) (000),4167,2018-06-01,190500
Cash assistance caseload (point in time) (000),4167,2018-07-01,188000
Cash assistance caseload (point in time) (000),4167,2018-08-01,188600
Cash assistance caseload (point in time) (000),4167,2018-09-01,187500
Cash assistance caseload (point in time) (000),4167,2018-10-01,188100
Cash assistance caseload (point in time) (000),4167,2018-11-01,185500
Cash assistance caseload (point in time) (000),4167,2018-12-01,184800
Cash assistance caseload (point in time) (000),4167,2019-01-01,184300
Cash assistance caseload (point in time) (000),4167,2019-02-01,183300
Cash assistance caseload (point in time) (000),4167,2019-03-01,183500
Cash assistance caseload (point in time) (000),4167,2019-04-01,181700
Cash assistance caseload (point in time) (000),4167,2019-05-01,181500
Cash assistance caseload (point in time) (000),4167,2019-06-01,181000
Cash assistance caseload (point in time) (000),4167,2019-07-01,181700
Cash assistance caseload (point in time) (000),4167,2019-08-01,181800
Cash assistance caseload (point in time) (000),4167,2019-09-01,180800
Cash assistance caseload (point in time) (000),4167,2019-10-01,182600
Cash assistance caseload (point in time) (000),4167,2019-11-01,179500
Cash assistance caseload (point in time) (000),4167,2019-12-01,179490
Cash assistance caseload (point in time) (000),4167,2020-01-01,178200
Cash assistance caseload (point in time) (000),4167,2020-02-01,179000
Cash assistance caseload (point in time) (000),4167,2020-03-01,178100
Cash assistance caseload (point in time) (000),4167,2020-04-01,182900
Cash assistance caseload (point in time) (000),4167,2020-05-01,200400
Cash assistance caseload (point in time) (000),4167,2020-06-01,208300
Cash assistance caseload (point in time) (000),4167,2020-07-01,213900
Cash assistance caseload (point in time) (000),4167,2020-08-01,215700
Cash assistance caseload (point in time) (000),4167,2020-09-01,216300
Cash assistance caseload (point in time) (000),4167,2020-10-01,214500
Cash assistance caseload (point in time) (000),4167,2020-11-01,209100
Cash assistance caseload (point in time) (000),4167,2020-12-01,206000
Cash assistance caseload (point in time) (000),4167,2021-01-01,203600
Cash assistance caseload (point in time) (000),4167,2021-02-01,203400
Cash assistance caseload (point in time) (000),4167,2021-03-01,205700
Cash assistance caseload (point in time) (000),4167,2021-04-01,206400
Cash assistance caseload (point in time) (000),4167,2021-05-01,207200
Cash assistance caseload (point in time) (000),4167,2021-06-01,203600
Cash assistance caseload (point in time) (000),4167,2021-07-01,202100
Cash assistance caseload (point in time) (000),4167,2021-08-01,200300
Cash assistance caseload (point in time) (000),4167,2021-09-01,195100
Cash assistance caseload (point in time) (000),4167,2021-10-01,200700
Cash assistance caseload (point in time) (000),4167,2021-11-01,205600
Cash assistance caseload (point in time) (000),4167,2021-12-01,210700
Cash assistance caseload (point in time) (000),4167,2022-01-01,217100
Cash assistance caseload (point in time) (000),4167,2022-02-01,221400
Cash assistance caseload (point in time) (000),4167,2022-03-01,228300
Cash assistance caseload (point in time) (000),4167,2022-04-01,232400
Cash assistance caseload (point in time) (000),4167,2022-05-01,233700
Cash assistance caseload (point in time) (000),4167,2022-06-01,235500
Cash assistance caseload (point in time) (000),4167,2022-07-01,237200
Cash assistance caseload (point in time) (000),4167,2022-08-01,238500
Cash assistance caseload (point in time) (000),4167,2022-09-01,240800
Cash assistance caseload (point in time) (000),4167,2022-10-01,244000
Cash assistance caseload (point in time) (000),4167,2022-11-01,243300
Cash assistance caseload (point in time) (000),4167,2022-12-01,244600
Cash assistance caseload (point in time) (000),4167,2023-01-01,248600
Cash assistance caseload (point in time) (000),4167,2023-02-01,250400
Cash assistance caseload (point in time) (000),4167,2023-03-01,258600.00000000003
Cash assistance caseload (point in time) (000),4167,2023-04-01,260300
Cash assistance caseload (point in time) (000),4167,2023-05-01,262400
Cash assistance caseload (point in time) (000),4167,2023-06-01,267400
Cash assistance caseload (point in time) (000),4167,2023-07-01,270000
Cash assistance caseload (point in time) (000),4167,2023-08-01,271200
Cash assistance caseload (point in time) (000),4167,2023-09-01,271900
Cash assistance caseload (point in time) (000),4167,2023-10-01,275100
